sample_name,file,condition,replicate
SRR2126784,,PRE_NACT,1
SRR2126785,,PRE_NACT,1
SRR2126786,,PRE_NACT,1
SRR2126787,,PRE_NACT,1
SRR3383790,,PRE_NACT,1
SRR3383791,,PRE_NACT,1
SRR3383792,,PRE_NACT,1
SRR3383794,,PRE_NACT,1
SRR3383796,,PRE_NACT,1
SRR3383797,,PRE_NACT,1
SRR3383798,,PRE_NACT,1
SRR2126788,,POST_NACT_CRS3,1
SRR2126789,,POST_NACT_CRS3,1
SRR2126790,,POST_NACT_CRS3,1
SRR2126791,,POST_NACT_CRS3,1
SRR2126792,,POST_NACT_CRS3,1
SRR2126793,,POST_NACT_CRS3,1
SRR2126794,,POST_NACT_CRS3,1
SRR2126795,,POST_NACT_CRS3,1
SRR2126796,,POST_NACT_CRS3,1
